evaluation_mode,normalization,classifier,removed_feature,retained_feature,pruning_count,pruning_frequency_out_of_20_folds,mean_absolute_spearman_correlation,median_absolute_spearman_correlation,minimum_absolute_spearman_correlation,maximum_absolute_spearman_correlation
common_rows,calibration_median_iqr,random_forest,hjorth_complexity,median_frequency,1,0.05,0.922406114627659,0.922406114627659,0.922406114627659,0.922406114627659
common_rows,calibration_median_iqr,random_forest,hjorth_mobility,median_frequency,1,0.05,0.9219645986729602,0.9219645986729602,0.9219645986729602,0.9219645986729602
common_rows,calibration_median_iqr,random_forest,hjorth_mobility,spectral_edge_frequency_95,6,0.3,0.9493033320948787,0.9476639400082862,0.9464967999301888,0.957609289756795
common_rows,calibration_median_iqr,random_forest,hjorth_mobility,svd_entropy,5,0.25,0.9792397735726857,0.9792827968591152,0.9781915187497788,0.9809027560183896
common_rows,calibration_median_iqr,random_forest,mean_frequency,hjorth_mobility,5,0.25,0.9863667155161867,0.9862079003228464,0.9858053342384028,0.9870218801880616
common_rows,calibration_median_iqr,random_forest,mean_frequency,median_frequency,7,0.35,0.9243167685370823,0.9184466713039938,0.9121996512964148,0.95620823542929
common_rows,calibration_median_iqr,random_forest,mean_frequency,spectral_edge_frequency_95,5,0.25,0.9180492557204076,0.9145700841638524,0.9144907255825624,0.9300964545170102
common_rows,calibration_median_iqr,random_forest,mean_frequency,svd_entropy,3,0.15,0.9451296418651646,0.94522203883906,0.9447274510014816,0.9454394357549524
common_rows,calibration_median_iqr,random_forest,permutation_entropy,slope_sign_change_count,18,0.9,0.9959029430959604,0.9957444489772719,0.9953609020014128,0.9971682633680664
common_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,hjorth_mobility,8,0.4,0.951643662649279,0.9507975627195758,0.9451977572240898,0.95858545018681
common_rows,calibration_median_iqr,random_forest,spectral_edge_frequency_95,svd_entropy,6,0.3,0.9748197622207337,0.9742219491598532,0.9737941593902936,0.9765982962444872
common_rows,calibration_median_iqr,random_forest,svd_entropy,hjorth_mobility,8,0.4,0.9803604386011437,0.9797458467902707,0.977659077498033,0.9863338094179138
common_rows,calibration_median_iqr,random_forest,svd_entropy,spectral_edge_frequency_95,6,0.3,0.974791395915727,0.9742464896420705,0.9732095899041782,0.978341334652692
common_rows,jackknife_median,extra_trees,hjorth_mobility,median_frequency,1,0.05,0.904887280058651,0.904887280058651,0.904887280058651,0.904887280058651
common_rows,jackknife_median,extra_trees,hjorth_mobility,spectral_edge_frequency_95,1,0.05,0.941438455756424,0.941438455756424,0.941438455756424,0.941438455756424
common_rows,jackknife_median,extra_trees,hjorth_mobility,svd_entropy,18,0.9,0.9791552125496332,0.9785668736741844,0.9774867521230372,0.9817371669820254
common_rows,jackknife_median,extra_trees,mean_frequency,median_frequency,3,0.15,0.9184937075538132,0.912852116814924,0.901245431710188,0.941383574136328
common_rows,jackknife_median,extra_trees,mean_frequency,svd_entropy,17,0.85,0.9376473321993168,0.9371741376739348,0.9343374760086848,0.9437127779902296
common_rows,jackknife_median,extra_trees,permutation_entropy,slope_sign_change_count,12,0.6,0.9938969936823397,0.9939295296187458,0.993197710177564,0.9944039178150595
common_rows,jackknife_median,extra_trees,root_mean_square,mean_absolute_value,1,0.05,0.9146102028324176,0.9146102028324176,0.9146102028324176,0.9146102028324176
common_rows,jackknife_median,extra_trees,spectral_edge_frequency_95,svd_entropy,19,0.95,0.9670341404803801,0.9666719268014364,0.9649313946023426,0.9729891410359104
common_rows,jackknife_median,extra_trees,svd_entropy,spectral_edge_frequency_95,1,0.05,0.9689669397594886,0.9689669397594886,0.9689669397594886,0.9689669397594886
common_rows,jackknife_median,logistic_regression,hjorth_mobility,median_frequency,1,0.05,0.904887280058651,0.904887280058651,0.904887280058651,0.904887280058651
common_rows,jackknife_median,logistic_regression,hjorth_mobility,spectral_edge_frequency_95,1,0.05,0.941438455756424,0.941438455756424,0.941438455756424,0.941438455756424
common_rows,jackknife_median,logistic_regression,hjorth_mobility,svd_entropy,18,0.9,0.9791552125496332,0.9785668736741844,0.9774867521230372,0.9817371669820254
common_rows,jackknife_median,logistic_regression,mean_frequency,median_frequency,3,0.15,0.9184937075538132,0.912852116814924,0.901245431710188,0.941383574136328
common_rows,jackknife_median,logistic_regression,mean_frequency,svd_entropy,17,0.85,0.9376473321993168,0.9371741376739348,0.9343374760086848,0.9437127779902296
common_rows,jackknife_median,logistic_regression,permutation_entropy,slope_sign_change_count,12,0.6,0.9938969936823397,0.9939295296187458,0.993197710177564,0.9944039178150595
common_rows,jackknife_median,logistic_regression,root_mean_square,mean_absolute_value,1,0.05,0.9146102028324176,0.9146102028324176,0.9146102028324176,0.9146102028324176
common_rows,jackknife_median,logistic_regression,spectral_edge_frequency_95,svd_entropy,19,0.95,0.9670341404803801,0.9666719268014364,0.9649313946023426,0.9729891410359104
common_rows,jackknife_median,logistic_regression,svd_entropy,spectral_edge_frequency_95,1,0.05,0.9689669397594886,0.9689669397594886,0.9689669397594886,0.9689669397594886
common_rows,jackknife_median,random_forest,hjorth_mobility,median_frequency,1,0.05,0.904887280058651,0.904887280058651,0.904887280058651,0.904887280058651
common_rows,jackknife_median,random_forest,hjorth_mobility,spectral_edge_frequency_95,1,0.05,0.941438455756424,0.941438455756424,0.941438455756424,0.941438455756424
