outer_fold_patient_id,evaluation_mode,normalization,classifier,training_patient_count,test_patient_count,training_rows_before_exclusion,training_rows_after_exclusion,test_rows_before_exclusion,test_rows_after_exclusion,training_class_0_rows,training_class_1_rows,test_class_0_rows,test_class_1_rows,starting_feature_count,post_variance_feature_count,post_top_k_feature_count,final_feature_count,imputation_fit_on_training_only,variance_filter_fit_on_training_only,ranking_fit_on_training_only,correlation_pruning_fit_on_training_only,scaler_applicable,scaler_fit_on_training_only,no_patient_overlap,finite_train_matrix,finite_test_matrix,calibration_rows_excluded_correctly
88503,common_rows,calibration_median,extra_trees,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,common_rows,calibration_median,random_forest,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,common_rows,calibration_median_iqr,logistic_regression,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
88503,common_rows,calibration_median_iqr,extra_trees,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,common_rows,calibration_median_iqr,random_forest,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,none,logistic_regression,19,1,1223,1223,60,60,555,668,30,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
88503,native_rows,none,extra_trees,19,1,1223,1223,60,60,555,668,30,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,none,random_forest,19,1,1223,1223,60,60,555,668,30,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,jackknife_median,logistic_regression,19,1,1223,1223,60,60,555,668,30,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
88503,native_rows,jackknife_median,extra_trees,19,1,1223,1223,60,60,555,668,30,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,jackknife_median,random_forest,19,1,1223,1223,60,60,555,668,30,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,calibration_median,logistic_regression,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
88503,native_rows,calibration_median,extra_trees,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,calibration_median,random_forest,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,calibration_median_iqr,logistic_regression,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
88503,native_rows,calibration_median_iqr,extra_trees,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
88503,native_rows,calibration_median_iqr,random_forest,19,1,1223,1033,60,50,365,668,20,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,common_rows,none,logistic_regression,19,1,1226,1036,57,47,366,670,19,28,34,34,20,15,True,True,True,True,True,True,True,True,True,True
90396,common_rows,none,extra_trees,19,1,1226,1036,57,47,366,670,19,28,34,34,20,15,True,True,True,True,False,,True,True,True,True
90396,common_rows,none,random_forest,19,1,1226,1036,57,47,366,670,19,28,34,34,20,15,True,True,True,True,False,,True,True,True,True
90396,common_rows,jackknife_median,logistic_regression,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,True,True,True,True,True,True
90396,common_rows,jackknife_median,extra_trees,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,common_rows,jackknife_median,random_forest,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,common_rows,calibration_median,logistic_regression,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,True,True,True,True,True,True
90396,common_rows,calibration_median,extra_trees,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,common_rows,calibration_median,random_forest,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,common_rows,calibration_median_iqr,logistic_regression,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,True,True,True,True,True,True
90396,common_rows,calibration_median_iqr,extra_trees,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,common_rows,calibration_median_iqr,random_forest,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,native_rows,none,logistic_regression,19,1,1226,1226,57,57,556,670,29,28,34,34,20,16,True,True,True,True,True,True,True,True,True,True
90396,native_rows,none,extra_trees,19,1,1226,1226,57,57,556,670,29,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,native_rows,none,random_forest,19,1,1226,1226,57,57,556,670,29,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,native_rows,jackknife_median,logistic_regression,19,1,1226,1226,57,57,556,670,29,28,34,34,20,17,True,True,True,True,True,True,True,True,True,True
90396,native_rows,jackknife_median,extra_trees,19,1,1226,1226,57,57,556,670,29,28,34,34,20,17,True,True,True,True,False,,True,True,True,True
90396,native_rows,jackknife_median,random_forest,19,1,1226,1226,57,57,556,670,29,28,34,34,20,17,True,True,True,True,False,,True,True,True,True
90396,native_rows,calibration_median,logistic_regression,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,True,True,True,True,True,True
90396,native_rows,calibration_median,extra_trees,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,native_rows,calibration_median,random_forest,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,native_rows,calibration_median_iqr,logistic_regression,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,True,True,True,True,True,True
90396,native_rows,calibration_median_iqr,extra_trees,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
90396,native_rows,calibration_median_iqr,random_forest,19,1,1226,1036,57,47,366,670,19,28,34,34,20,16,True,True,True,True,False,,True,True,True,True
96305,common_rows,none,logistic_regression,19,1,1224,1034,59,49,365,669,20,29,34,34,20,15,True,True,True,True,True,True,True,True,True,True
96305,common_rows,none,extra_trees,19,1,1224,1034,59,49,365,669,20,29,34,34,20,15,True,True,True,True,False,,True,True,True,True
96305,common_rows,none,random_forest,19,1,1224,1034,59,49,365,669,20,29,34,34,20,15,True,True,True,True,False,,True,True,True,True
96305,common_rows,jackknife_median,logistic_regression,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,True,True,True,True,True,True
96305,common_rows,jackknife_median,extra_trees,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,common_rows,jackknife_median,random_forest,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,common_rows,calibration_median,logistic_regression,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,True,True,True,True,True,True
96305,common_rows,calibration_median,extra_trees,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,common_rows,calibration_median,random_forest,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,common_rows,calibration_median_iqr,logistic_regression,19,1,1224,1034,59,49,365,669,20,29,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96305,common_rows,calibration_median_iqr,extra_trees,19,1,1224,1034,59,49,365,669,20,29,34,34,20,16,True,True,True,True,False,,True,True,True,True
96305,common_rows,calibration_median_iqr,random_forest,19,1,1224,1034,59,49,365,669,20,29,34,34,20,16,True,True,True,True,False,,True,True,True,True
96305,native_rows,none,logistic_regression,19,1,1224,1224,59,59,555,669,30,29,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96305,native_rows,none,extra_trees,19,1,1224,1224,59,59,555,669,30,29,34,34,20,16,True,True,True,True,False,,True,True,True,True
96305,native_rows,none,random_forest,19,1,1224,1224,59,59,555,669,30,29,34,34,20,16,True,True,True,True,False,,True,True,True,True
96305,native_rows,jackknife_median,logistic_regression,19,1,1224,1224,59,59,555,669,30,29,34,34,20,17,True,True,True,True,True,True,True,True,True,True
96305,native_rows,jackknife_median,extra_trees,19,1,1224,1224,59,59,555,669,30,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,native_rows,jackknife_median,random_forest,19,1,1224,1224,59,59,555,669,30,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,native_rows,calibration_median,logistic_regression,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,True,True,True,True,True,True
96305,native_rows,calibration_median,extra_trees,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,native_rows,calibration_median,random_forest,19,1,1224,1034,59,49,365,669,20,29,34,34,20,17,True,True,True,True,False,,True,True,True,True
96305,native_rows,calibration_median_iqr,logistic_regression,19,1,1224,1034,59,49,365,669,20,29,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96305,native_rows,calibration_median_iqr,extra_trees,19,1,1224,1034,59,49,365,669,20,29,34,34,20,16,True,True,True,True,False,,True,True,True,True
96305,native_rows,calibration_median_iqr,random_forest,19,1,1224,1034,59,49,365,669,20,29,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,none,logistic_regression,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96879,common_rows,none,extra_trees,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,none,random_forest,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,jackknife_median,logistic_regression,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96879,common_rows,jackknife_median,extra_trees,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,jackknife_median,random_forest,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,calibration_median,logistic_regression,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96879,common_rows,calibration_median,extra_trees,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,calibration_median,random_forest,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,calibration_median_iqr,logistic_regression,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96879,common_rows,calibration_median_iqr,extra_trees,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,common_rows,calibration_median_iqr,random_forest,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,native_rows,none,logistic_regression,19,1,1224,1224,59,59,556,668,29,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96879,native_rows,none,extra_trees,19,1,1224,1224,59,59,556,668,29,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,native_rows,none,random_forest,19,1,1224,1224,59,59,556,668,29,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,native_rows,jackknife_median,logistic_regression,19,1,1224,1224,59,59,556,668,29,30,34,34,20,17,True,True,True,True,True,True,True,True,True,True
96879,native_rows,jackknife_median,extra_trees,19,1,1224,1224,59,59,556,668,29,30,34,34,20,17,True,True,True,True,False,,True,True,True,True
96879,native_rows,jackknife_median,random_forest,19,1,1224,1224,59,59,556,668,29,30,34,34,20,17,True,True,True,True,False,,True,True,True,True
96879,native_rows,calibration_median,logistic_regression,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96879,native_rows,calibration_median,extra_trees,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,native_rows,calibration_median,random_forest,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,native_rows,calibration_median_iqr,logistic_regression,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,True,True,True,True,True,True
96879,native_rows,calibration_median_iqr,extra_trees,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
96879,native_rows,calibration_median_iqr,random_forest,19,1,1224,1034,59,49,366,668,19,30,34,34,20,16,True,True,True,True,False,,True,True,True,True
